"","id","biennium","url","relevancy"
"6097","WI_2003_REG_SB14",2003,"http://docs.legis.wisconsin.gov/document/proposaltext/2003/REG/SB14",0.659518841198088
"2474","WI_1997_REG_AB733",1997,"http://docs.legis.wisconsin.gov/document/proposaltext/1997/REG/AB733",0.659458893408313
"3397","WI_1997_REG_SB516",1997,"http://docs.legis.wisconsin.gov/document/proposaltext/1997/REG/SB516",0.659242661122305
"2509","WI_1997_REG_AB768",1997,"http://docs.legis.wisconsin.gov/document/proposaltext/1997/REG/AB768",0.658886906300312
"3317","WI_1997_REG_SB436",1997,"http://docs.legis.wisconsin.gov/document/proposaltext/1997/REG/SB436",0.658886906300312
"2906","WI_1997_REG_SB30",1997,"http://docs.legis.wisconsin.gov/document/proposaltext/1997/REG/SB30",0.658094696567774
"10249","WI_2007_REG_SB196",2007,"http://docs.legis.wisconsin.gov/document/proposaltext/2007/REG/SB196",0.657718404831253
"2313","WI_1997_REG_AB573",1997,"http://docs.legis.wisconsin.gov/document/proposaltext/1997/REG/AB573",0.657612700749651
"25","WI_1995_REG_AB295",1995,"http://docs.legis.wisconsin.gov/document/proposaltext/1995/REG/AB295",0.657349717456296
"9491","WI_2007_REG_AB566",2007,"http://docs.legis.wisconsin.gov/document/proposaltext/2007/REG/AB566",0.657107562504495
"3870","WI_2001_REG_AB614",2001,"http://docs.legis.wisconsin.gov/document/proposaltext/2001/REG/AB614",0.656949293151539
"4672","WI_2001_REG_SB307",2001,"http://docs.legis.wisconsin.gov/document/proposaltext/2001/REG/SB307",0.656949293151539
"1422","WI_1995_REG_SB446",1995,"http://docs.legis.wisconsin.gov/document/proposaltext/1995/REG/SB446",0.656657088397733
"9424","WI_2007_REG_AB499",2007,"http://docs.legis.wisconsin.gov/document/proposaltext/2007/REG/AB499",0.656396001558832
"13513","WI_2011_REG_AB660",2011,"http://docs.legis.wisconsin.gov/document/proposaltext/2011/REG/AB660",0.653656035940075
"1761","WI_1997_REG_AB26",1997,"http://docs.legis.wisconsin.gov/document/proposaltext/1997/REG/AB26",0.653517840575856
"7447","WI_2005_REG_AB784",2005,"http://docs.legis.wisconsin.gov/document/proposaltext/2005/REG/AB784",0.653329294073263
"3737","WI_2001_REG_AB481",2001,"http://docs.legis.wisconsin.gov/document/proposaltext/2001/REG/AB481",0.650797186645845
"2605","WI_1997_REG_AB864",1997,"http://docs.legis.wisconsin.gov/document/proposaltext/1997/REG/AB864",0.650699023752721
"7754","WI_2005_REG_AB1091",2005,"http://docs.legis.wisconsin.gov/document/proposaltext/2005/REG/AB1091",0.649991447906258
"8379","WI_2005_REG_SB318",2005,"http://docs.legis.wisconsin.gov/document/proposaltext/2005/REG/SB318",0.649991447906258
"3197","WI_1997_REG_SB317",1997,"http://docs.legis.wisconsin.gov/document/proposaltext/1997/REG/SB317",0.64879713116922
"8309","WI_2005_REG_SB248",2005,"http://docs.legis.wisconsin.gov/document/proposaltext/2005/REG/SB248",0.648214472751583
"14529","WI_2013_REG_AB71",2013,"http://docs.legis.wisconsin.gov/document/proposaltext/2013/REG/AB71",0.648202641254115
"1076","WI_1995_REG_SB100",1995,"http://docs.legis.wisconsin.gov/document/proposaltext/1995/REG/SB100",0.648125110688449
"9322","WI_2007_REG_AB397",2007,"http://docs.legis.wisconsin.gov/document/proposaltext/2007/REG/AB397",0.647430931509333
"6300","WI_2003_REG_SB214-engrossed",2003,"http://docs.legis.wisconsin.gov/document/proposaltext/2003/REG/SB214-engrossed",0.646670506449335
"3609","WI_2001_REG_AB354",2001,"http://docs.legis.wisconsin.gov/document/proposaltext/2001/REG/AB354",0.64666216121909
"8356","WI_2005_REG_SB295",2005,"http://docs.legis.wisconsin.gov/document/proposaltext/2005/REG/SB295",0.645846635842232
"3409","WI_1997_REG_SB528",1997,"http://docs.legis.wisconsin.gov/document/proposaltext/1997/REG/SB528",0.645728988813709
"11359","WI_2009_REG_AB573",2009,"http://docs.legis.wisconsin.gov/document/proposaltext/2009/REG/AB573",0.645219486681063
"2528","WI_1997_REG_AB787",1997,"http://docs.legis.wisconsin.gov/document/proposaltext/1997/REG/AB787",0.645187283739053
"3330","WI_1997_REG_SB449",1997,"http://docs.legis.wisconsin.gov/document/proposaltext/1997/REG/SB449",0.645187283739053
"2924","WI_1997_REG_SB48",1997,"http://docs.legis.wisconsin.gov/document/proposaltext/1997/REG/SB48",0.644750378200927
"10353","WI_2007_REG_SB300",2007,"http://docs.legis.wisconsin.gov/document/proposaltext/2007/REG/SB300",0.644686771834986
"13358","WI_2011_REG_AB505",2011,"http://docs.legis.wisconsin.gov/document/proposaltext/2011/REG/AB505",0.644476376587637
"14153","WI_2011_REG_SB384",2011,"http://docs.legis.wisconsin.gov/document/proposaltext/2011/REG/SB384",0.644476376587637
"1158","WI_1995_REG_SB182",1995,"http://docs.legis.wisconsin.gov/document/proposaltext/1995/REG/SB182",0.644394110801945
"7253","WI_2005_REG_AB591",2005,"http://docs.legis.wisconsin.gov/document/proposaltext/2005/REG/AB591",0.644296807665917
"11680","WI_2009_REG_AB893",2009,"http://docs.legis.wisconsin.gov/document/proposaltext/2009/REG/AB893",0.64377712559325
"8674","WI_2005_REG_SB612",2005,"http://docs.legis.wisconsin.gov/document/proposaltext/2005/REG/SB612",0.643685810478071
"12583","WI_2009_REG_SB631",2009,"http://docs.legis.wisconsin.gov/document/proposaltext/2009/REG/SB631",0.643430381361418
"8464","WI_2005_REG_SB403",2005,"http://docs.legis.wisconsin.gov/document/proposaltext/2005/REG/SB403",0.643020070484247
"9134","WI_2007_REG_AB209",2007,"http://docs.legis.wisconsin.gov/document/proposaltext/2007/REG/AB209",0.642202312267852
"10156","WI_2007_REG_SB103",2007,"http://docs.legis.wisconsin.gov/document/proposaltext/2007/REG/SB103",0.641941400031004
"7425","WI_2005_REG_AB763",2005,"http://docs.legis.wisconsin.gov/document/proposaltext/2005/REG/AB763",0.641938269937402
"2393","WI_1997_REG_AB653",1997,"http://docs.legis.wisconsin.gov/document/proposaltext/1997/REG/AB653",0.641802046394471
"1958","WI_1997_REG_AB221",1997,"http://docs.legis.wisconsin.gov/document/proposaltext/1997/REG/AB221",0.641719879262213
"13060","WI_2011_REG_AB208",2011,"http://docs.legis.wisconsin.gov/document/proposaltext/2011/REG/AB208",0.640498541224555
"15600","WI_2013_REG_SB60",2013,"http://docs.legis.wisconsin.gov/document/proposaltext/2013/REG/SB60",0.640498541224555
"6844","WI_2005_REG_AB183",2005,"http://docs.legis.wisconsin.gov/document/proposaltext/2005/REG/AB183",0.64027683449353
"8203","WI_2005_REG_SB142",2005,"http://docs.legis.wisconsin.gov/document/proposaltext/2005/REG/SB142",0.64012799839671
"8139","WI_2005_REG_SB78",2005,"http://docs.legis.wisconsin.gov/document/proposaltext/2005/REG/SB78",0.640058228599669
"6644","WI_2003_REG_SB558",2003,"http://docs.legis.wisconsin.gov/document/proposaltext/2003/REG/SB558",0.639919997581686
"12988","WI_2011_REG_AB136",2011,"http://docs.legis.wisconsin.gov/document/proposaltext/2011/REG/AB136",0.63968814197368
"6650","WI_2003_REG_SB564",2003,"http://docs.legis.wisconsin.gov/document/proposaltext/2003/REG/SB564",0.639615319879849
"4474","WI_2001_REG_SB110-engrossed",2001,"http://docs.legis.wisconsin.gov/document/proposaltext/2001/REG/SB110-engrossed",0.639600349181591
"4728","WI_2001_REG_SB363",2001,"http://docs.legis.wisconsin.gov/document/proposaltext/2001/REG/SB363",0.63942915243638
"2703","WI_1997_REG_AB962",1997,"http://docs.legis.wisconsin.gov/document/proposaltext/1997/REG/AB962",0.639218112917319
"6936","WI_2005_REG_AB275",2005,"http://docs.legis.wisconsin.gov/document/proposaltext/2005/REG/AB275",0.639137040804008
"1884","WI_1997_REG_AB147",1997,"http://docs.legis.wisconsin.gov/document/proposaltext/1997/REG/AB147",0.63872415029643
"4473","WI_2001_REG_SB110",2001,"http://docs.legis.wisconsin.gov/document/proposaltext/2001/REG/SB110",0.638263973300406
"10861","WI_2009_REG_AB79",2009,"http://docs.legis.wisconsin.gov/document/proposaltext/2009/REG/AB79",0.63821162112765
"2258","WI_1997_REG_AB518",1997,"http://docs.legis.wisconsin.gov/document/proposaltext/1997/REG/AB518",0.637684468426994
"3129","WI_1997_REG_SB251",1997,"http://docs.legis.wisconsin.gov/document/proposaltext/1997/REG/SB251",0.637684468426994
"2234","WI_1997_REG_AB495",1997,"http://docs.legis.wisconsin.gov/document/proposaltext/1997/REG/AB495",0.636965949631672
"13922","WI_2011_REG_SB154",2011,"http://docs.legis.wisconsin.gov/document/proposaltext/2011/REG/SB154",0.636851159830429
"5086","WI_2003_REG_AB137",2003,"http://docs.legis.wisconsin.gov/document/proposaltext/2003/REG/AB137",0.636605694711713
"15306","WI_2013_REG_AB846",2013,"http://docs.legis.wisconsin.gov/document/proposaltext/2013/REG/AB846",0.636267494662676
"11112","WI_2009_REG_AB329",2009,"http://docs.legis.wisconsin.gov/document/proposaltext/2009/REG/AB329",0.636156888393838
"5639","WI_2003_REG_AB687",2003,"http://docs.legis.wisconsin.gov/document/proposaltext/2003/REG/AB687",0.635957402323157
"15278","WI_2013_REG_AB818",2013,"http://docs.legis.wisconsin.gov/document/proposaltext/2013/REG/AB818",0.635099353386806
"7314","WI_2005_REG_AB652",2005,"http://docs.legis.wisconsin.gov/document/proposaltext/2005/REG/AB652",0.635088521255296
"15080","WI_2013_REG_AB620",2013,"http://docs.legis.wisconsin.gov/document/proposaltext/2013/REG/AB620",0.634943248475578
"16033","WI_2013_REG_SB492",2013,"http://docs.legis.wisconsin.gov/document/proposaltext/2013/REG/SB492",0.634943248475578
"1615","WI_1995_REG_SB639",1995,"http://docs.legis.wisconsin.gov/document/proposaltext/1995/REG/SB639",0.634898912988679
"12082","WI_2009_REG_SB130",2009,"http://docs.legis.wisconsin.gov/document/proposaltext/2009/REG/SB130",0.634153323051148
"3923","WI_2001_REG_AB667",2001,"http://docs.legis.wisconsin.gov/document/proposaltext/2001/REG/AB667",0.633830562479569
"4700","WI_2001_REG_SB335",2001,"http://docs.legis.wisconsin.gov/document/proposaltext/2001/REG/SB335",0.633830562479569
"7605","WI_2005_REG_AB942",2005,"http://docs.legis.wisconsin.gov/document/proposaltext/2005/REG/AB942",0.633192923276781
"13562","WI_2011_REG_AB709",2011,"http://docs.legis.wisconsin.gov/document/proposaltext/2011/REG/AB709",0.632865805781634
"10599","WI_2007_REG_SB546",2007,"http://docs.legis.wisconsin.gov/document/proposaltext/2007/REG/SB546",0.632393951376464
"3378","WI_1997_REG_SB497",1997,"http://docs.legis.wisconsin.gov/document/proposaltext/1997/REG/SB497",0.632042056167673
"13061","WI_2011_REG_AB209",2011,"http://docs.legis.wisconsin.gov/document/proposaltext/2011/REG/AB209",0.63179650523921
"11026","WI_2009_REG_AB244",2009,"http://docs.legis.wisconsin.gov/document/proposaltext/2009/REG/AB244",0.63105151342527
"3157","WI_1997_REG_SB279",1997,"http://docs.legis.wisconsin.gov/document/proposaltext/1997/REG/SB279",0.630281376040772
"6962","WI_2005_REG_AB301",2005,"http://docs.legis.wisconsin.gov/document/proposaltext/2005/REG/AB301",0.629938435163688
"2304","WI_1997_REG_AB564",1997,"http://docs.legis.wisconsin.gov/document/proposaltext/1997/REG/AB564",0.629373590811713
"13556","WI_2011_REG_AB703",2011,"http://docs.legis.wisconsin.gov/document/proposaltext/2011/REG/AB703",0.628705344595885
"6912","WI_2005_REG_AB251",2005,"http://docs.legis.wisconsin.gov/document/proposaltext/2005/REG/AB251",0.628401426027426
"15270","WI_2013_REG_AB810",2013,"http://docs.legis.wisconsin.gov/document/proposaltext/2013/REG/AB810",0.628171723620423
"13258","WI_2011_REG_AB405",2011,"http://docs.legis.wisconsin.gov/document/proposaltext/2011/REG/AB405",0.627646155287752
"8642","WI_2005_REG_SB580",2005,"http://docs.legis.wisconsin.gov/document/proposaltext/2005/REG/SB580",0.627537945972434
"2658","WI_1997_REG_AB917",1997,"http://docs.legis.wisconsin.gov/document/proposaltext/1997/REG/AB917",0.626894062814505
"10933","WI_2009_REG_AB151",2009,"http://docs.legis.wisconsin.gov/document/proposaltext/2009/REG/AB151",0.626855522859047
"11129","WI_2009_REG_AB346",2009,"http://docs.legis.wisconsin.gov/document/proposaltext/2009/REG/AB346",0.626414180037439
"6604","WI_2003_REG_SB518",2003,"http://docs.legis.wisconsin.gov/document/proposaltext/2003/REG/SB518",0.626216852127713
"13297","WI_2011_REG_AB444",2011,"http://docs.legis.wisconsin.gov/document/proposaltext/2011/REG/AB444",0.625713715616358
"14098","WI_2011_REG_SB329",2011,"http://docs.legis.wisconsin.gov/document/proposaltext/2011/REG/SB329",0.625713715616358
"9816","WI_2007_REG_AB891",2007,"http://docs.legis.wisconsin.gov/document/proposaltext/2007/REG/AB891",0.625674431461024
"10587","WI_2007_REG_SB534",2007,"http://docs.legis.wisconsin.gov/document/proposaltext/2007/REG/SB534",0.625674431461024
"13937","WI_2011_REG_SB169",2011,"http://docs.legis.wisconsin.gov/document/proposaltext/2011/REG/SB169",0.625336570034157
"3546","WI_2001_REG_AB291",2001,"http://docs.legis.wisconsin.gov/document/proposaltext/2001/REG/AB291",0.625250898140871
"7528","WI_2005_REG_AB865",2005,"http://docs.legis.wisconsin.gov/document/proposaltext/2005/REG/AB865",0.625128751860919
"5875","WI_2003_REG_AB923",2003,"http://docs.legis.wisconsin.gov/document/proposaltext/2003/REG/AB923",0.624657122700827
"7331","WI_2005_REG_AB669",2005,"http://docs.legis.wisconsin.gov/document/proposaltext/2005/REG/AB669",0.623717824793546
"13302","WI_2011_REG_AB449",2011,"http://docs.legis.wisconsin.gov/document/proposaltext/2011/REG/AB449",0.622978475409011
"9836","WI_2007_REG_AB911",2007,"http://docs.legis.wisconsin.gov/document/proposaltext/2007/REG/AB911",0.622517030259941
"12595","WI_2009_REG_SB643",2009,"http://docs.legis.wisconsin.gov/document/proposaltext/2009/REG/SB643",0.622373855412537
"11007","WI_2009_REG_AB225",2009,"http://docs.legis.wisconsin.gov/document/proposaltext/2009/REG/AB225",0.621983816970175
"11701","WI_2009_REG_AB914",2009,"http://docs.legis.wisconsin.gov/document/proposaltext/2009/REG/AB914",0.621093123639081
"4194","WI_2001_REG_AB936",2001,"http://docs.legis.wisconsin.gov/document/proposaltext/2001/REG/AB936",0.62107498690646
"78","WI_1995_REG_AB348",1995,"http://docs.legis.wisconsin.gov/document/proposaltext/1995/REG/AB348",0.620607702322071
"9671","WI_2007_REG_AB746",2007,"http://docs.legis.wisconsin.gov/document/proposaltext/2007/REG/AB746",0.620356794680829
"10454","WI_2007_REG_SB401",2007,"http://docs.legis.wisconsin.gov/document/proposaltext/2007/REG/SB401",0.620356794680829
"2116","WI_1997_REG_AB378",1997,"http://docs.legis.wisconsin.gov/document/proposaltext/1997/REG/AB378",0.620028186693346
"11721","WI_2009_REG_AB934",2009,"http://docs.legis.wisconsin.gov/document/proposaltext/2009/REG/AB934",0.619265215661582
"3931","WI_2001_REG_AB675",2001,"http://docs.legis.wisconsin.gov/document/proposaltext/2001/REG/AB675",0.619148804226505
"4722","WI_2001_REG_SB357",2001,"http://docs.legis.wisconsin.gov/document/proposaltext/2001/REG/SB357",0.619148804226505
"14119","WI_2011_REG_SB350",2011,"http://docs.legis.wisconsin.gov/document/proposaltext/2011/REG/SB350",0.619084724496093
"14054","WI_2011_REG_SB285",2011,"http://docs.legis.wisconsin.gov/document/proposaltext/2011/REG/SB285",0.618787521908084
"4717","WI_2001_REG_SB352",2001,"http://docs.legis.wisconsin.gov/document/proposaltext/2001/REG/SB352",0.618011774290861
"13095","WI_2011_REG_AB243",2011,"http://docs.legis.wisconsin.gov/document/proposaltext/2011/REG/AB243",0.617684742537933
